,time,bid,ask,last,volume,time_msc,flags,volume_real
652,2023-12-17 05:30:00+05:30,102.562,102.632,102.508,4636920250089498214,1695,13,0.0
653,2023-12-18 05:30:00+05:30,102.603,102.623,102.363,4636911453996476006,28149,0,0.0
654,2023-12-19 05:30:00+05:30,102.48,102.619,102.052,4636886895304758002,31115,9,0.0
655,2023-12-20 05:30:00+05:30,102.129,102.53,102.128,4636905754128197616,30052,0,0.0
656,2023-12-21 05:30:00+05:30,102.393,102.439,101.714,4636861562556854043,31897,0,0.0
657,2023-12-22 05:30:00+05:30,101.77,101.884,101.416,4636856496007273251,28096,22,0.0
658,2023-12-25 05:30:00+05:30,101.685,101.71,101.58,4636850936876483215,1400,7,0.0
659,2023-12-26 05:30:00+05:30,101.628,101.76,101.424,4636839818614903144,17425,12,0.0
660,2023-12-27 05:30:00+05:30,101.461,101.562,100.814,4636798582530815033,24925,7,0.0
661,2023-12-28 05:30:00+05:30,100.877,101.286,100.603,4636820678316486820,28126,1,0.0
662,2023-12-29 05:30:00+05:30,101.19,101.411,101.051,4636832852109229556,26440,23,0.0
663,2024-01-01 05:30:00+05:30,101.305,101.369,101.263,4636833133584206266,1522,15,0.0
664,2024-01-02 05:30:00+05:30,101.367,102.239,101.325,4636893650704199057,27613,0,0.0
665,2024-01-03 05:30:00+05:30,102.228,102.718,102.06,4636905261546988372,33071,1,0.0
666,2024-01-04 05:30:00+05:30,102.387,102.517,102.129,4636907583715546235,30936,2,0.0
667,2024-01-05 05:30:00+05:30,102.425,103.096,101.89,4636907020765592814,32660,23,0.0
668,2024-01-07 05:30:00+05:30,102.379,102.502,102.375,4636908779984197255,3870,0,0.0
669,2024-01-08 05:30:00+05:30,102.362,102.61,102.061,4636898154303826428,32467,4,0.0
670,2024-01-09 05:30:00+05:30,102.287,102.647,102.094,4636912157683917783,31433,2,0.0
671,2024-01-10 05:30:00+05:30,102.485,102.63,102.315,4636900828316105179,27213,1,0.0
672,2024-01-11 05:30:00+05:30,102.322,102.755,102.055,4636891961854338793,34376,0,0.0
673,2024-01-12 05:30:00+05:30,102.204,102.575,102.073,4636907583715546235,29419,23,0.0
674,2024-01-14 05:30:00+05:30,102.44,102.502,102.41,4636912650265127027,1310,15,0.0
675,2024-01-15 05:30:00+05:30,102.493,102.664,102.298,4636921587095637590,21780,0,0.0
676,2024-01-16 05:30:00+05:30,102.625,103.414,102.613,4636969719316655112,33704,9,0.0
677,2024-01-17 05:30:00+05:30,103.304,103.681,103.249,4636971900747724620,31783,4,0.0
678,2024-01-18 05:30:00+05:30,103.332,103.619,103.134,4636973167385119818,32000,1,0.0
679,2024-01-19 05:30:00+05:30,103.354,103.535,103.221,4636964019448376721,27822,23,0.0
680,2024-01-21 05:30:00+05:30,103.261,103.3,103.214,4636966341616934584,1928,0,0.0
681,2024-01-22 05:30:00+05:30,103.262,103.373,103.101,4636974222916282483,26976,0,0.0
682,2024-01-23 05:30:00+05:30,103.367,103.806,102.967,4636983019009304691,29136,0,0.0
683,2024-01-24 05:30:00+05:30,103.498,103.537,102.756,4636967467516841427,30622,5,0.0
684,2024-01-25 05:30:00+05:30,103.281,103.676,103.104,4636982033846886203,30586,5,0.0
685,2024-01-26 05:30:00+05:30,103.489,103.717,103.116,4636979993153305051,27011,23,0.0
686,2024-01-28 05:30:00+05:30,103.511,103.538,103.473,4636986115234048508,1892,14,0.0
687,2024-01-29 05:30:00+05:30,103.544,103.812,103.389,4636979922784560873,25398,9,0.0
688,2024-01-30 05:30:00+05:30,103.45,103.604,103.296,4636974996972468437,27104,2,0.0
689,2024-01-31 05:30:00+05:30,103.378,103.73,102.925,4636990618833675878,36163,6,0.0
690,2024-02-01 05:30:00+05:30,103.603,103.802,103.007,4636950790124471321,34094,12,0.0
691,2024-02-02 05:30:00+05:30,103.039,104.032,102.888,4637015036787905528,28756,22,0.0
692,2024-02-04 05:30:00+05:30,103.935,104.102,103.933,4637019610756277076,2067,0,0.0
693,2024-02-05 05:30:00+05:30,104.023,104.592,103.97,4637049939685017649,46933,30,0.0
694,2024-02-06 05:30:00+05:30,104.446,104.578,104.11,4637027421686880797,44828,30,0.0
695,2024-02-07 05:30:00+05:30,104.124,104.15,103.923,4637019540387532898,44076,29,0.0
696,2024-02-08 05:30:00+05:30,104.012,104.421,103.939,4637026999474415731,41246,30,0.0
697,2024-02-09 05:30:00+05:30,104.112,104.247,103.933,4637023058824741782,40963,30,0.0
698,2024-02-11 05:30:00+05:30,104.061,104.077,103.95,4637015951581579837,1844,42,0.0
699,2024-02-12 05:30:00+05:30,103.963,104.266,103.878,4637027843899345863,33090,30,0.0
700,2024-02-13 05:30:00+05:30,104.132,104.95,103.907,4637078439026409603,52555,30,0.0
701,2024-02-14 05:30:00+05:30,104.849,104.962,104.64,4637065491177480913,42597,29,0.0
702,2024-02-15 05:30:00+05:30,104.662,104.699,104.163,4637036006673670472,43436,30,0.0
703,2024-02-16 05:30:00+05:30,104.252,104.661,104.151,4637037062204833137,42037,30,0.0
704,2024-02-18 05:30:00+05:30,104.245,104.262,104.174,4637031925286508167,1639,44,0.0
705,2024-02-19 05:30:00+05:30,104.188,104.359,104.124,4637038539948460868,24181,31,0.0
706,2024-02-20 05:30:00+05:30,104.289,104.398,103.779,4637020314443718853,38845,31,0.0
707,2024-02-21 05:30:00+05:30,104.03,104.199,103.919,4637015951581579837,38409,31,0.0
708,2024-02-22 05:30:00+05:30,103.962,104.121,103.415,4637011659088185000,47169,31,0.0
709,2024-02-23 05:30:00+05:30,103.903,104.039,103.753,4637014966419161350,34629,31,0.0
710,2024-02-25 05:30:00+05:30,103.846,103.949,103.835,4637015036787905528,1851,50,0.0
711,2024-02-26 05:30:00+05:30,103.953,104.003,103.694,4637000822301581640,32208,31,0.0
712,2024-02-27 05:30:00+05:30,103.751,103.91,103.592,4637006099957394964,34141,31,0.0
713,2024-02-28 05:30:00+05:30,103.824,104.229,103.79,4637012925725580198,36764,30,0.0
714,2024-02-29 05:30:00+05:30,103.918,104.187,103.637,4637027140211904086,49520,31,0.0
715,2024-03-01 05:30:00+05:30,104.111,104.281,103.825,4637009266550882959,41221,31,0.0
716,2024-03-03 05:30:00+05:30,103.834,103.853,103.814,4637007296226045985,1631,42,0.0
717,2024-03-04 05:30:00+05:30,103.84,103.95,103.711,4637005748113674076,32065,31,0.0
718,2024-03-05 05:30:00+05:30,103.823,103.935,103.557,4637002159307721015,36085,30,0.0
719,2024-03-06 05:30:00+05:30,103.769,103.879,103.183,4636971548904003731,41846,30,0.0
720,2024-03-07 05:30:00+05:30,103.323,103.339,102.751,4636930946138613219,46895,29,0.0
721,2024-03-08 05:30:00+05:30,102.75,102.895,102.31,4636928975813776245,52177,31,0.0
722,2024-03-10 05:30:00+05:30,102.669,102.738,102.661,4636925387007823184,3352,31,0.0
723,2024-03-11 05:30:00+05:30,102.672,102.931,102.618,4636932423882240950,34727,30,0.0
724,2024-03-12 05:30:00+05:30,102.775,103.164,102.702,4636942205137681646,46535,31,0.0
725,2024-03-13 05:30:00+05:30,102.912,103.008,102.646,4636930453557403976,33187,31,0.0
726,2024-03-14 05:30:00+05:30,102.738,103.382,102.72,4636974645128747549,39266,30,0.0
727,2024-03-15 05:30:00+05:30,103.373,103.48,103.285,4636978726515909853,30253,30,0.0
728,2024-03-17 05:30:00+05:30,103.385,103.466,103.383,4636980485734514295,2171,30,0.0
729,2024-03-18 05:30:00+05:30,103.453,103.635,103.318,4636988507771350548,26756,30,0.0
